code;nom;categorie;type_unite;prix_achat;prix_comprime;prix_plaquette;prix_flacon;comprimes_par_plaquette;quantite_stock;stock_a_ajouter;seuil_alerte;date_expiration;description
MED-0048;Ciprofloxacine 50mg (ref 48);Antipaludéens;comprime_plaquette;147;271;2710;0;10;60;0;16;2027-10-06;Vente par comprimé ou plaquette — import catalogue
MED-0049;Solution antiseptique 100ml #49;Antiseptiques;flacon;3531;0;0;2342;0;50;0;29;2028-09-28;Vente par flacon — import catalogue
MED-0050;Oméprazole 5mg (ref 50);Antihypertenseurs;comprime_plaquette;533;733;16413;0;24;201;0;18;2027-03-30;Vente par comprimé ou plaquette — import catalogue
MED-0051;Azithromycine 1000mg (ref 51);Antidiabétiques;comprime_plaquette;1233;1786;53580;0;30;274;0;13;2027-08-15;Vente par comprimé ou plaquette — import catalogue
MED-0052;Fluconazole 500mg (ref 52);Antiseptiques;comprime_plaquette;182;258;3813;0;15;491;0;16;2028-01-11;Vente par comprimé ou plaquette — import catalogue
MED-0053;Chloroquine 400mg (ref 53);Sirops;comprime_plaquette;1423;2803;22424;0;8;91;0;29;2027-12-15;Vente par comprimé ou plaquette — import catalogue
MED-0054;Fer 10mg (ref 54);Gastro;comprime_plaquette;2145;2883;43245;0;15;48;0;8;2027-11-27;Vente par comprimé ou plaquette — import catalogue
MED-0055;Azithromycine 5mg (ref 55);Ophtalmologie;comprime_plaquette;123;256;3072;0;12;766;0;30;2028-01-20;Vente par comprimé ou plaquette — import catalogue
MED-0056;Gouttes auriculaires 200ml #56;Antiseptiques;flacon;3283;0;0;5689;0;19;0;17;2028-10-15;Vente par flacon — import catalogue
MED-0057;Doxycycline 875mg (ref 57);Gynécologie;comprime_plaquette;1744;3003;24024;0;8;571;0;26;2029-01-19;Vente par comprimé ou plaquette — import catalogue
MED-0058;Doxycycline 1000mg (ref 58);Antihistaminiques;comprime_plaquette;283;386;5790;0;15;658;0;15;2029-01-12;Vente par comprimé ou plaquette — import catalogue
MED-0059;Metronidazole 875mg (ref 59);Cardiologie;comprime_plaquette;887;1366;27320;0;20;733;0;14;2028-09-22;Vente par comprimé ou plaquette — import catalogue
MED-0060;Ciprofloxacine 400mg (ref 60);Antibiotiques;comprime_plaquette;2066;2823;42345;0;15;198;0;24;2028-10-07;Vente par comprimé ou plaquette — import catalogue
MED-0061;Vitamine C 50mg (ref 61);Antalgiques;comprime_plaquette;54;101;1985;0;20;641;0;25;2028-01-28;Vente par comprimé ou plaquette — import catalogue
MED-0062;Metformine 200mg (ref 62);Vitamines;comprime_plaquette;1473;2867;43005;0;15;773;0;10;2029-01-07;Vente par comprimé ou plaquette — import catalogue
MED-0063;Suspension amoxicilline 60ml #63;Antibiotiques;flacon;1962;0;0;5722;0;47;0;7;2027-10-31;Vente par flacon — import catalogue
MED-0064;Cotrimoxazole 875mg (ref 64);Dermatologie;comprime_plaquette;1734;3403;31974;0;10;506;0;24;2027-05-18;Vente par comprimé ou plaquette — import catalogue
MED-0065;Metformine 50mg (ref 65);Antihypertenseurs;comprime_plaquette;1248;2457;58968;0;24;526;0;17;2027-11-09;Vente par comprimé ou plaquette — import catalogue
MED-0066;Ciprofloxacine 250mg (ref 66);Antidiabétiques;comprime_plaquette;2328;3254;97620;0;30;244;0;10;2029-02-14;Vente par comprimé ou plaquette — import catalogue
MED-0067;Losartan 200mg (ref 67);Antiseptiques;comprime_plaquette;1250;2383;19064;0;8;487;0;9;2028-06-22;Vente par comprimé ou plaquette — import catalogue
MED-0068;Cotrimoxazole 10mg (ref 68);Sirops;comprime_plaquette;1383;2538;50760;0;20;473;0;24;2028-08-02;Vente par comprimé ou plaquette — import catalogue
MED-0069;Oméprazole 10mg (ref 69);Gastro;comprime_plaquette;505;751;11265;0;15;285;0;29;2027-11-13;Vente par comprimé ou plaquette — import catalogue
MED-0070;Sirop toux 120ml #70;Sirops;flacon;3936;0;0;7870;0;71;0;20;2028-12-05;Vente par flacon — import catalogue
MED-0071;Chloroquine 875mg (ref 71);Pédiatrie;comprime_plaquette;276;417;5922;0;15;573;0;7;2027-07-24;Vente par comprimé ou plaquette — import catalogue
MED-0072;Ciprofloxacine 400mg (ref 72);Gynécologie;comprime_plaquette;1458;2942;42064;0;15;358;0;22;2028-06-24;Vente par comprimé ou plaquette — import catalogue
MED-0073;Oméprazole 250mg (ref 73);Antihistaminiques;comprime_plaquette;1031;1820;18200;0;10;732;0;5;2028-10-14;Vente par comprimé ou plaquette — import catalogue
MED-0074;Acide folique 200mg (ref 74);Cardiologie;comprime_plaquette;830;1540;12320;0;8;449;0;22;2028-09-14;Vente par comprimé ou plaquette — import catalogue
MED-0075;Diclofénac 400mg (ref 75);Antibiotiques;comprime_plaquette;530;998;14970;0;15;418;0;15;2029-01-17;Vente par comprimé ou plaquette — import catalogue
MED-0076;Cotrimoxazole 50mg (ref 76);Antalgiques;comprime_plaquette;544;776;18624;0;24;657;0;22;2027-04-01;Vente par comprimé ou plaquette — import catalogue
MED-0077;Sirop antipaludéen 200ml #77;Antipaludéens;flacon;3224;0;0;6123;0;8;0;7;2028-12-22;Vente par flacon — import catalogue
MED-0078;Oméprazole 100mg (ref 78);Antipaludéens;comprime_plaquette;1004;1991;56515;0;30;485;0;15;2028-02-13;Vente par comprimé ou plaquette — import catalogue
MED-0079;Zinc 50mg (ref 79);Dermatologie;comprime_plaquette;2338;3180;38160;0;12;103;0;20;2027-03-24;Vente par comprimé ou plaquette — import catalogue
MED-0080;Albendazole 10mg (ref 80);Antihypertenseurs;comprime_plaquette;792;1533;12222;0;8;61;0;29;2027-04-05;Vente par comprimé ou plaquette — import catalogue
MED-0081;Chloroquine 400mg (ref 81);Antidiabétiques;comprime_plaquette;116;183;5258;0;30;137;0;23;2027-10-14;Vente par comprimé ou plaquette — import catalogue
MED-0082;Metformine 875mg (ref 82);Antiseptiques;comprime_plaquette;805;1610;48300;0;30;785;0;27;2027-06-30;Vente par comprimé ou plaquette — import catalogue
MED-0083;Zinc 100mg (ref 83);Sirops;comprime_plaquette;337;542;6504;0;12;609;0;26;2028-03-23;Vente par comprimé ou plaquette — import catalogue
MED-0084;Sirop vitamine 200ml #84;Vitamines;flacon;3728;0;0;3124;0;14;0;23;2029-02-09;Vente par flacon — import catalogue
MED-0085;Prednisolone 400mg (ref 85);Ophtalmologie;comprime_plaquette;2014;2955;23640;0;8;634;0;30;2027-07-06;Vente par comprimé ou plaquette — import catalogue
MED-0086;Tramadol 250mg (ref 86);Pédiatrie;comprime_plaquette;1320;2282;27384;0;12;538;0;25;2028-02-17;Vente par comprimé ou plaquette — import catalogue
MED-0087;Paracétamol 50mg (ref 87);Gynécologie;comprime_plaquette;1014;2107;63210;0;30;670;0;19;2027-08-08;Vente par comprimé ou plaquette — import catalogue
MED-0088;Oméprazole 100mg (ref 88);Antihistaminiques;comprime_plaquette;1654;2237;52864;0;24;571;0;29;2028-07-12;Vente par comprimé ou plaquette — import catalogue
MED-0089;Metformine 50mg (ref 89);Cardiologie;comprime_plaquette;1942;3094;92820;0;30;271;0;7;2027-12-15;Vente par comprimé ou plaquette — import catalogue
MED-0090;Metformine 400mg (ref 90);Antibiotiques;comprime_plaquette;1243;2003;60090;0;30;364;0;5;2028-07-23;Vente par comprimé ou plaquette — import catalogue
MED-0091;Sirop paracétamol 120ml #91;Sirops;flacon;1544;0;0;5494;0;32;0;16;2027-11-24;Vente par flacon — import catalogue
MED-0092;Vitamine B 875mg (ref 92);Vitamines;comprime_plaquette;2122;2972;59440;0;20;549;0;11;2027-05-31;Vente par comprimé ou plaquette — import catalogue
MED-0093;Chloroquine 50mg (ref 93);Antipaludéens;comprime_plaquette;1608;2374;35610;0;15;681;0;27;2028-07-19;Vente par comprimé ou plaquette — import catalogue
MED-0094;Metformine 250mg (ref 94);Dermatologie;comprime_plaquette;674;1305;10440;0;8;333;0;26;2028-10-20;Vente par comprimé ou plaquette — import catalogue
MED-0095;Fer 200mg (ref 95);Antihypertenseurs;comprime_plaquette;1257;2274;45480;0;20;583;0;15;2028-02-28;Vente par comprimé ou plaquette — import catalogue
MED-0096;Fluconazole 200mg (ref 96);Antidiabétiques;comprime_plaquette;711;1355;15209;0;12;142;0;28;2028-09-03;Vente par comprimé ou plaquette — import catalogue
MED-0097;Zinc 100mg (ref 97);Antiseptiques;comprime_plaquette;662;986;9536;0;10;798;0;21;2028-11-05;Vente par comprimé ou plaquette — import catalogue
MED-0098;Lotion cutanée 120ml #98;Dermatologie;flacon;1211;0;0;8320;0;29;0;14;2027-10-23;Vente par flacon — import catalogue
MED-0099;Fer 100mg (ref 99);Gastro;comprime_plaquette;103;157;1740;0;12;75;0;22;2027-12-29;Vente par comprimé ou plaquette — import catalogue
MED-0100;Fluconazole 100mg (ref 100);Ophtalmologie;comprime_plaquette;1901;3183;76392;0;24;607;0;14;2028-06-27;Vente par comprimé ou plaquette — import catalogue
MED-0101;Amlodipine 200mg (ref 101);Pédiatrie;comprime_plaquette;632;855;10146;0;12;136;0;7;2028-04-18;Vente par comprimé ou plaquette — import catalogue
MED-0102;Amlodipine 500mg (ref 102);Gynécologie;comprime_plaquette;1756;2678;52750;0;20;331;0;7;2027-11-14;Vente par comprimé ou plaquette — import catalogue
MED-0103;Metronidazole 10mg (ref 103);Antihistaminiques;comprime_plaquette;1139;1804;54120;0;30;251;0;29;2028-08-21;Vente par comprimé ou plaquette — import catalogue
MED-0104;Acide folique 200mg (ref 104);Cardiologie;comprime_plaquette;932;1317;19755;0;15;332;0;23;2028-11-29;Vente par comprimé ou plaquette — import catalogue
MED-0105;Collyre 60ml #105;Ophtalmologie;flacon;3297;0;0;7562;0;17;0;29;2027-10-03;Vente par flacon — import catalogue
MED-0106;Prednisolone 400mg (ref 106);Antalgiques;comprime_plaquette;1330;2805;32453;0;12;180;0;5;2028-04-26;Vente par comprimé ou plaquette — import catalogue
MED-0107;Metformine 5mg (ref 107);Vitamines;comprime_plaquette;594;1292;18267;0;15;484;0;7;2029-02-05;Vente par comprimé ou plaquette — import catalogue
MED-0108;Chloroquine 875mg (ref 108);Antipaludéens;comprime_plaquette;2129;3340;100200;0;30;222;0;18;2027-06-30;Vente par comprimé ou plaquette — import catalogue
MED-0109;Céfixime 400mg (ref 109);Dermatologie;comprime_plaquette;512;710;17040;0;24;93;0;6;2027-08-21;Vente par comprimé ou plaquette — import catalogue
MED-0110;Vitamine C 5mg (ref 110);Antihypertenseurs;comprime_plaquette;2157;3476;77580;0;24;725;0;14;2029-02-18;Vente par comprimé ou plaquette — import catalogue
MED-0111;Acide folique 875mg (ref 111);Antidiabétiques;comprime_plaquette;1382;2311;42669;0;20;462;0;28;2028-01-29;Vente par comprimé ou plaquette — import catalogue
MED-0112;Solution buvable 15ml #112;Pédiatrie;flacon;1825;0;0;1711;0;16;0;12;2029-01-23;Vente par flacon — import catalogue
MED-0113;Tramadol 5mg (ref 113);Sirops;comprime_plaquette;2106;3232;23870;0;8;794;0;10;2028-06-28;Vente par comprimé ou plaquette — import catalogue
MED-0114;Losartan 200mg (ref 114);Gastro;comprime_plaquette;631;843;10116;0;12;523;0;7;2028-06-28;Vente par comprimé ou plaquette — import catalogue
MED-0115;Fer 50mg (ref 115);Ophtalmologie;comprime_plaquette;921;1415;16980;0;12;357;0;18;2029-02-12;Vente par comprimé ou plaquette — import catalogue
MED-0116;Amlodipine 875mg (ref 116);Pédiatrie;comprime_plaquette;1207;1740;41760;0;24;485;0;7;2028-01-21;Vente par comprimé ou plaquette — import catalogue
MED-0117;Artéméther 1000mg (ref 117);Gynécologie;comprime_plaquette;1864;3264;26112;0;8;21;0;26;2028-09-10;Vente par comprimé ou plaquette — import catalogue
MED-0118;Metformine 50mg (ref 118);Antihistaminiques;comprime_plaquette;525;868;6944;0;8;530;0;25;2028-05-30;Vente par comprimé ou plaquette — import catalogue
MED-0119;Solution antiseptique 60ml #119;Antiseptiques;flacon;1633;0;0;3687;0;75;0;9;2027-12-24;Vente par flacon — import catalogue
MED-0120;Metformine 200mg (ref 120);Antibiotiques;comprime_plaquette;161;218;1744;0;8;265;0;27;2027-08-14;Vente par comprimé ou plaquette — import catalogue
MED-0121;Vitamine C 10mg (ref 121);Antalgiques;comprime_plaquette;1352;2362;18656;0;8;136;0;19;2027-07-03;Vente par comprimé ou plaquette — import catalogue
MED-0122;Prednisolone 100mg (ref 122);Vitamines;comprime_plaquette;1631;3035;45525;0;15;445;0;20;2028-06-30;Vente par comprimé ou plaquette — import catalogue
MED-0123;Chloroquine 200mg (ref 123);Antipaludéens;comprime_plaquette;391;692;13840;0;20;540;0;28;2027-07-22;Vente par comprimé ou plaquette — import catalogue
MED-0124;Ibuprofène 875mg (ref 124);Dermatologie;comprime_plaquette;2355;3335;100050;0;30;539;0;13;2027-03-07;Vente par comprimé ou plaquette — import catalogue
MED-0125;Vitamine C 875mg (ref 125);Antihypertenseurs;comprime_plaquette;1562;2504;75120;0;30;172;0;19;2028-09-06;Vente par comprimé ou plaquette — import catalogue
MED-0126;Gouttes auriculaires 200ml #126;Antiseptiques;flacon;2213;0;0;4223;0;75;0;29;2028-09-11;Vente par flacon — import catalogue
MED-0127;Acide folique 200mg (ref 127);Antiseptiques;comprime_plaquette;648;872;9947;0;12;440;0;6;2028-01-24;Vente par comprimé ou plaquette — import catalogue
MED-0128;Albendazole 200mg (ref 128);Sirops;comprime_plaquette;1931;3423;82152;0;24;687;0;9;2028-07-24;Vente par comprimé ou plaquette — import catalogue
MED-0129;Amoxicilline 100mg (ref 129);Gastro;comprime_plaquette;1383;2517;49715;0;20;122;0;21;2028-06-14;Vente par comprimé ou plaquette — import catalogue
MED-0130;Paracétamol 100mg (ref 130);Ophtalmologie;comprime_plaquette;2060;2781;40985;0;15;291;0;15;2028-12-02;Vente par comprimé ou plaquette — import catalogue
MED-0131;Fluconazole 50mg (ref 131);Pédiatrie;comprime_plaquette;301;428;10272;0;24;566;0;17;2028-01-23;Vente par comprimé ou plaquette — import catalogue
MED-0132;Prednisolone 200mg (ref 132);Gynécologie;comprime_plaquette;1067;2316;67429;0;30;314;0;12;2027-06-05;Vente par comprimé ou plaquette — import catalogue
MED-0133;Suspension amoxicilline 200ml #133;Antibiotiques;flacon;1203;0;0;7728;0;17;0;19;2027-08-22;Vente par flacon — import catalogue
MED-0134;Fluconazole 875mg (ref 134);Cardiologie;comprime_plaquette;157;288;2185;0;8;461;0;9;2027-11-10;Vente par comprimé ou plaquette — import catalogue
MED-0135;Losartan 50mg (ref 135);Antibiotiques;comprime_plaquette;1988;2892;53578;0;20;411;0;24;2029-02-01;Vente par comprimé ou plaquette — import catalogue
MED-0136;Chloroquine 200mg (ref 136);Antalgiques;comprime_plaquette;356;686;13720;0;20;490;0;13;2029-01-15;Vente par comprimé ou plaquette — import catalogue
MED-0137;Paracétamol 200mg (ref 137);Vitamines;comprime_plaquette;1765;2875;34348;0;12;621;0;14;2028-12-18;Vente par comprimé ou plaquette — import catalogue
MED-0138;Oméprazole 875mg (ref 138);Antipaludéens;comprime_plaquette;681;1337;20055;0;15;514;0;8;2027-11-02;Vente par comprimé ou plaquette — import catalogue
MED-0139;Acide folique 5mg (ref 139);Dermatologie;comprime_plaquette;1322;2454;29448;0;12;42;0;26;2028-04-13;Vente par comprimé ou plaquette — import catalogue
MED-0140;Sirop toux 120ml #140;Sirops;flacon;833;0;0;6136;0;11;0;24;2028-07-25;Vente par flacon — import catalogue
MED-0141;Vitamine C 400mg (ref 141);Antidiabétiques;comprime_plaquette;1880;3384;67680;0;20;655;0;13;2029-01-27;Vente par comprimé ou plaquette — import catalogue
MED-0142;Zinc 100mg (ref 142);Antiseptiques;comprime_plaquette;358;497;11928;0;24;336;0;30;2028-05-29;Vente par comprimé ou plaquette — import catalogue
MED-0143;Amoxicilline 5mg (ref 143);Sirops;comprime_plaquette;1516;3099;37188;0;12;354;0;28;2028-05-03;Vente par comprimé ou plaquette — import catalogue
MED-0144;Azithromycine 400mg (ref 144);Gastro;comprime_plaquette;2031;3321;33210;0;10;563;0;21;2027-12-09;Vente par comprimé ou plaquette — import catalogue
MED-0145;Azithromycine 875mg (ref 145);Ophtalmologie;comprime_plaquette;1534;2073;61545;0;30;137;0;19;2027-05-21;Vente par comprimé ou plaquette — import catalogue
MED-0146;Ciprofloxacine 400mg (ref 146);Pédiatrie;comprime_plaquette;1915;2870;86100;0;30;590;0;16;2027-06-05;Vente par comprimé ou plaquette — import catalogue
MED-0147;Sirop antipaludéen 200ml #147;Antipaludéens;flacon;857;0;0;3666;0;73;0;8;2028-06-12;Vente par flacon — import catalogue
MED-0148;Fer 875mg (ref 148);Antihistaminiques;comprime_plaquette;1156;1660;33200;0;20;130;0;26;2027-10-30;Vente par comprimé ou plaquette — import catalogue
MED-0149;Amlodipine 250mg (ref 149);Cardiologie;comprime_plaquette;1315;2399;47980;0;20;683;0;7;2028-12-14;Vente par comprimé ou plaquette — import catalogue
MED-0150;Metformine 875mg (ref 150);Antibiotiques;comprime_plaquette;859;1772;39252;0;24;524;0;8;2027-06-12;Vente par comprimé ou plaquette — import catalogue
MED-0151;Chloroquine 10mg (ref 151);Antalgiques;comprime_plaquette;991;1691;16910;0;10;780;0;27;2028-09-08;Vente par comprimé ou plaquette — import catalogue
MED-0152;Oméprazole 5mg (ref 152);Vitamines;comprime_plaquette;1526;3076;73824;0;24;121;0;20;2028-11-24;Vente par comprimé ou plaquette — import catalogue
MED-0153;Oméprazole 875mg (ref 153);Antipaludéens;comprime_plaquette;1642;2927;23416;0;8;261;0;16;2027-06-14;Vente par comprimé ou plaquette — import catalogue
MED-0154;Sirop vitamine 120ml #154;Vitamines;flacon;3030;0;0;6782;0;50;0;6;2028-04-15;Vente par flacon — import catalogue
MED-0155;Artéméther 400mg (ref 155);Antihypertenseurs;comprime_plaquette;2037;3475;27800;0;8;677;0;25;2028-11-05;Vente par comprimé ou plaquette — import catalogue
MED-0156;Paracétamol 250mg (ref 156);Antidiabétiques;comprime_plaquette;766;1466;42448;0;30;90;0;29;2028-09-22;Vente par comprimé ou plaquette — import catalogue
MED-0157;Doxycycline 5mg (ref 157);Antiseptiques;comprime_plaquette;2438;3430;34300;0;10;171;0;30;2028-11-04;Vente par comprimé ou plaquette — import catalogue
MED-0158;Paracétamol 875mg (ref 158);Sirops;comprime_plaquette;516;692;20760;0;30;198;0;8;2029-01-09;Vente par comprimé ou plaquette — import catalogue
MED-0159;Paracétamol 100mg (ref 159);Gastro;comprime_plaquette;1076;1567;11857;0;8;198;0;13;2027-04-27;Vente par comprimé ou plaquette — import catalogue
MED-0160;Ciprofloxacine 50mg (ref 160);Ophtalmologie;comprime_plaquette;380;565;11300;0;20;390;0;21;2028-11-01;Vente par comprimé ou plaquette — import catalogue
MED-0161;Sirop paracétamol 60ml #161;Sirops;flacon;2651;0;0;5627;0;33;0;24;2027-04-18;Vente par flacon — import catalogue
MED-0162;Albendazole 10mg (ref 162);Gynécologie;comprime_plaquette;1270;1976;23709;0;12;431;0;18;2029-02-04;Vente par comprimé ou plaquette — import catalogue
MED-0163;Metronidazole 200mg (ref 163);Antihistaminiques;comprime_plaquette;904;1916;44543;0;24;87;0;9;2027-12-11;Vente par comprimé ou plaquette — import catalogue
MED-0164;Diclofénac 5mg (ref 164);Cardiologie;comprime_plaquette;1651;3016;60320;0;20;563;0;14;2028-06-11;Vente par comprimé ou plaquette — import catalogue
MED-0165;Losartan 5mg (ref 165);Antibiotiques;comprime_plaquette;348;506;7380;0;15;584;0;28;2027-10-11;Vente par comprimé ou plaquette — import catalogue
MED-0166;Oméprazole 200mg (ref 166);Antalgiques;comprime_plaquette;989;1794;17940;0;10;445;0;28;2027-06-10;Vente par comprimé ou plaquette — import catalogue
MED-0167;Vitamine B 50mg (ref 167);Vitamines;comprime_plaquette;1486;2824;33888;0;12;723;0;20;2027-05-12;Vente par comprimé ou plaquette — import catalogue
MED-0168;Lotion cutanée 60ml #168;Dermatologie;flacon;4206;0;0;2199;0;16;0;18;2027-06-11;Vente par flacon — import catalogue
